reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value,model
2024-10-26,wk inc covid hosp,-1,Ontario,2024-10-19,quantile,0.25,787,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,-1,Ontario,2024-10-19,quantile,0.5,790,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,-1,Ontario,2024-10-19,quantile,0.75,849,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,-1,Ontario,2024-10-19,quantile,0.9,900,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,-1,Ontario,2024-10-19,quantile,0.975,1036,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,0,Ontario,2024-10-26,quantile,0.025,731,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,0,Ontario,2024-10-26,quantile,0.1,741,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,0,Ontario,2024-10-26,quantile,0.25,787,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,0,Ontario,2024-10-26,quantile,0.5,790,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,0,Ontario,2024-10-26,quantile,0.75,849,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,0,Ontario,2024-10-26,quantile,0.9,900,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,0,Ontario,2024-10-26,quantile,0.975,1036,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,1,Ontario,2024-11-02,quantile,0.025,731,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,1,Ontario,2024-11-02,quantile,0.1,741,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,1,Ontario,2024-11-02,quantile,0.25,787,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,1,Ontario,2024-11-02,quantile,0.5,790,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,1,Ontario,2024-11-02,quantile,0.75,849,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,1,Ontario,2024-11-02,quantile,0.9,900,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,1,Ontario,2024-11-02,quantile,0.975,1036,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,2,Ontario,2024-11-09,quantile,0.025,731,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,2,Ontario,2024-11-09,quantile,0.1,741,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,2,Ontario,2024-11-09,quantile,0.25,787,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,2,Ontario,2024-11-09,quantile,0.5,790,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,2,Ontario,2024-11-09,quantile,0.75,849,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,2,Ontario,2024-11-09,quantile,0.9,900,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,2,Ontario,2024-11-09,quantile,0.975,1036,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,3,Ontario,2024-11-16,quantile,0.025,731,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,3,Ontario,2024-11-16,quantile,0.1,741,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,3,Ontario,2024-11-16,quantile,0.25,787,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,3,Ontario,2024-11-16,quantile,0.5,790,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,3,Ontario,2024-11-16,quantile,0.75,849,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,3,Ontario,2024-11-16,quantile,0.9,900,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,3,Ontario,2024-11-16,quantile,0.975,1036,UGuelphensemble-GRYPHON
