"time","geo_value","geo_type","covid"
2022-07-09,"North West","OH Region",28
2022-07-09,"Ontario","Province",773
2022-07-09,"Toronto","OH Region",203
2022-07-09,"West","OH Region",167
2022-07-16,"Central","OH Region",279
2022-07-16,"East","OH Region",217
2022-07-16,"North East","OH Region",64
2022-07-16,"North West","OH Region",26
2022-07-16,"Ontario","Province",1055
2022-07-16,"Toronto","OH Region",277
2022-07-16,"West","OH Region",209
2022-07-23,"Central","OH Region",347
2022-07-23,"East","OH Region",319
2022-07-23,"North East","OH Region",95
2022-07-23,"North West","OH Region",25
2022-07-23,"Ontario","Province",1443
2022-07-23,"Toronto","OH Region",381
2022-07-23,"West","OH Region",291
2022-07-30,"Central","OH Region",325
2022-07-30,"East","OH Region",307
2022-07-30,"North East","OH Region",96
2022-07-30,"North West","OH Region",32
2022-07-30,"Ontario","Province",1505
2022-07-30,"Toronto","OH Region",387
2022-07-30,"West","OH Region",373
2022-08-06,"Central","OH Region",295
2022-08-06,"East","OH Region",279
2022-08-06,"North East","OH Region",85
2022-08-06,"North West","OH Region",50
2022-08-06,"Ontario","Province",1419
2022-08-06,"Toronto","OH Region",304
2022-08-06,"West","OH Region",422
2022-08-13,"Central","OH Region",250
2022-08-13,"East","OH Region",275
2022-08-13,"North East","OH Region",66
2022-08-13,"North West","OH Region",40
2022-08-13,"Ontario","Province",1354
2022-08-13,"Toronto","OH Region",282
2022-08-13,"West","OH Region",457
2022-08-20,"Central","OH Region",253
2022-08-20,"East","OH Region",257
2022-08-20,"North East","OH Region",81
2022-08-20,"North West","OH Region",40
2022-08-20,"Ontario","Province",1340
2022-08-20,"Toronto","OH Region",286
2022-08-20,"West","OH Region",437
